Entity Name,Attribute Name,Attribute Data Type,Pseudonymization
links,,,
,rel,string,no-op
,href,string,no-op
personReferences,,,
,personId,string,no-op
,sourceSystemDescriptor,string,no-op
,link,struct,no-op
studentAcademicRecordReferences,,,
,educationOrganizationId,integer,no-op
,schoolYear,integer,no-op
,studentUniqueId,string,no-op
,termDescriptor,string,no-op
,link,struct,no-op
credentialStudentAcademicRecords,,,
,studentAcademicRecordReference,struct,no-op
credentialExtensions,,,
,certificationRouteDescriptor,string,no-op
,credentialStatusDescriptor,string,no-op
,educatorRoleDescriptor,string,no-op
,boardCertificationIndicator,boolean,no-op
,certificationTitle,string,no-op
,credentialStatusDate,date,no-op
,personReference,struct,no-op
,studentAcademicRecords,array,no-op
credentialExtensionses,,,
,TPDM,struct,no-op
deletedResources,,,
,id,string,no-op
,changeVersion,decimal,no-op
schoolReferences,,,
,schoolId,integer,no-op
,link,struct,no-op
academicWeeks,,,
,id,string,no-op
,weekIdentifier,string,no-op
,schoolId,integer,no-op
,beginDate,date,no-op
,endDate,date,no-op
,totalInstructionalDays,integer,no-op
,_etag,string,no-op
academicWeekReferences,,,
,schoolId,integer,no-op
,weekIdentifier,string,no-op
,link,struct,no-op
accountCodeReferences,,,
,accountClassificationDescriptor,string,no-op
,accountCodeNumber,string,no-op
,educationOrganizationId,integer,no-op
,fiscalYear,integer,no-op
,link,struct,no-op
accountAccountCodes,,,
,accountCodeReference,struct,no-op
educationOrganizationReferences,,,
,educationOrganizationId,integer,hash
,link,struct,no-op
accounts,,,
,id,string,no-op
,accountCodes,array,no-op
,accountIdentifier,string,no-op
,fiscalYear,integer,no-op
,educationOrganizationReference,struct,no-op
,accountName,string,no-op
,_etag,string,no-op
schoolYearTypeReferences,,,
,schoolYear,integer,no-op
,link,struct,no-op
accountabilityRatings,,,
,id,string,no-op
,ratingTitle,string,no-op
,educationOrganizationReference,struct,no-op
,schoolYearTypeReference,struct,no-op
,rating,string,no-op
,ratingDate,date,no-op
,ratingOrganization,string,no-op
,ratingProgram,string,no-op
,_etag,string,no-op
accountCodes,,,
,id,string,no-op
,accountClassificationDescriptor,string,no-op
,accountCodeNumber,string,no-op
