Entity Name,Attribute Name,Attribute Data Type,Pseudonymization
enrollment,,,
,id,string,hash
,localEducationAgencyId,integer,no-op
,addresses,string,no-op
,charterStatusDescriptor,string,no-op
,identificationCodes,string,no-op
,institutionTelephones,string,no-op
,localEducationAgencyCategoryDescriptor,string,no-op
,nameOfInstitution,string,no-op
,shortNameOfInstitution,string,no-op
,stateEducationAgencyId,integer,no-op
,webSite,string,no-op
,_etag,string,no-op
enrollment,,,
,id,string,hash
,educationOrganizationCategories,string,no-op
,gradeLevels,string,no-op
,schoolId,integer,no-op
,addresses,string,no-op
,identificationCodes,string,no-op
,institutionTelephones,string,no-op
,nameOfInstitution,string,no-op
,schoolCategories,string,no-op
,schoolTypeDescriptor,string,no-op
,shortNameOfInstitution,string,no-op
,webSite,string,no-op
,_etag,string,no-op
enrollment,,,
,id,string,hash
,localCourseCode,string,no-op
,sectionIdentifier,string,no-op
,academicSubjectDescriptor,string,no-op
,availableCredits,float,no-op
,classPeriods,string,no-op
,educationalEnvironmentDescriptor,string,no-op
,localCourseTitle,string,no-op
,sequenceOfCourse,integer,no-op
,staff,string,no-op
,students,string,no-op
,_etag,string,no-op
enrollment,,,
,id,string,hash
,educationOrganizationAssignments,string,no-op
,electronicMails,string,no-op
,firstName,string,no-op
,hispanicLatinoEthnicity,boolean,no-op
,identificationCodes,string,no-op
,languages,string,no-op
,lastSurname,string,no-op
,loginId,string,no-op
,personalTitlePrefix,string,no-op
,races,string,no-op
,sexDescriptor,string,no-op
,staffUniqueId,string,no-op
,telephones,string,no-op
,_etag,string,no-op
enrollment,,,
,id,string,hash
,birthDate,string,no-op
,firstName,string,no-op
,lastSurname,string,no-op
,middleName,string,no-op
,personalTitlePrefix,string,no-op
,studentDemographics,string,no-op
,studentSchoolEnrollments,string,no-op
,studentUniqueId,string,no-op
,_etag,string,no-op
absenceEventCategoryDescriptors,,,
,id,string,hash
,absenceEventCategoryDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
academicHonorCategoryDescriptors,,,
,id,string,hash
,academicHonorCategoryDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
academicSubjectDescriptors,,,
,id,string,hash
,academicSubjectDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
accommodationDescriptors,,,
,id,string,hash
,accommodationDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
accountClassificationDescriptors,,,
,id,string,hash
,accountClassificationDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
accreditationStatusDescriptors,,,
,id,string,hash
,accreditationStatusDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
achievementCategoryDescriptors,,,
,id,string,hash
,achievementCategoryDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
additionalCreditTypeDescriptors,,,
,id,string,hash
,additionalCreditTypeDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
addressTypeDescriptors,,,
,id,string,hash
,addressTypeDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
administrationEnvironmentDescriptors,,,
,id,string,hash
,administrationEnvironmentDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
administrativeFundingControlDescriptors,,,
,id,string,hash
,administrativeFundingControlDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
aidTypeDescriptors,,,
,id,string,hash
,aidTypeDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
ancestryEthnicOriginDescriptors,,,
,id,string,hash
,ancestryEthnicOriginDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
applicationEventResultDescriptors,,,
,id,string,hash
,applicationEventResultDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
applicationEventTypeDescriptors,,,
,id,string,hash
,applicationEventTypeDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
applicationSourceDescriptors,,,
,id,string,hash
,applicationSourceDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
applicationStatusDescriptors,,,
,id,string,hash
,applicationStatusDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
,effectiveBeginDate,string,no-op
,effectiveEndDate,string,no-op
,namespace,string,no-op
,priorDescriptorId,integer,no-op
,shortDescription,string,no-op
,_etag,string,no-op
assessmentCategoryDescriptors,,,
,id,string,hash
,assessmentCategoryDescriptorId,integer,no-op
,codeValue,string,no-op
,description,string,no-op
