Entity Name,Attribute Name,Attribute Data Type,Pseudonymization
academicWeeks,,,
,id,string,no-op
,weekIdentifier,string,no-op
,beginDate,string,no-op
,endDate,string,no-op
,totalInstructionalDays,integer,no-op
,_etag,string,no-op
accounts,,,
,id,string,no-op
,accountCodes,array,no-op
,accountIdentifier,string,no-op
,fiscalYear,integer,no-op
,accountName,string,no-op
,_etag,string,no-op
accountabilityRatings,,,
,id,string,no-op
,ratingTitle,string,no-op
,rating,string,no-op
,ratingDate,string,no-op
,ratingOrganization,string,no-op
,ratingProgram,string,no-op
,_etag,string,no-op
accountCodes,,,
,id,string,no-op
,accountClassificationDescriptor,string,no-op
,accountCodeNumber,string,no-op
,fiscalYear,integer,no-op
,accountCodeDescription,string,no-op
,_etag,string,no-op
actuals,,,
,id,string,no-op
,asOfDate,string,no-op
,amountToDate,number,no-op
,_etag,string,no-op
applicantProfiles,,,
,id,string,no-op
,applicantProfileIdentifier,string,no-op
,addresses,array,no-op
,applicantCharacteristics,array,no-op
,backgroundChecks,array,no-op
,birthDate,string,no-op
,citizenshipStatusDescriptor,string,no-op
,disabilities,array,no-op
,economicDisadvantaged,boolean,no-op
,educatorPreparationProgramNames,array,no-op
,electronicMails,array,no-op
,firstGenerationStudent,boolean,no-op
,firstName,string,no-op
,genderDescriptor,string,no-op
,generationCodeSuffix,string,no-op
,gradePointAverages,array,no-op
,highestCompletedLevelOfEducationDescriptor,string,no-op
,highlyQualifiedAcademicSubjects,array,no-op
,highlyQualifiedTeacher,boolean,no-op
,hispanicLatinoEthnicity,boolean,no-op
,identificationDocuments,array,no-op
,internationalAddresses,array,no-op
,languages,array,no-op
,lastSurname,string,no-op
,maidenName,string,no-op
,middleName,string,no-op
,personalIdentificationDocuments,array,no-op
,personalTitlePrefix,string,no-op
,races,array,no-op
,sexDescriptor,string,no-op
,telephones,array,no-op
,visas,array,no-op
,yearsOfPriorProfessionalExperience,number,no-op
,yearsOfPriorTeachingExperience,number,no-op
,_etag,string,no-op
applications,,,
,id,string,no-op
,applicationIdentifier,string,no-op
,academicSubjectDescriptor,string,no-op
,acceptedDate,string,no-op
,applicationDate,string,no-op
,applicationSourceDescriptor,string,no-op
,applicationStatusDescriptor,string,no-op
,currentEmployee,boolean,no-op
,firstContactDate,string,no-op
,highNeedsAcademicSubjectDescriptor,string,no-op
,hireStatusDescriptor,string,no-op
,hiringSourceDescriptor,string,no-op
,recruitmentEventAttendances,array,no-op
,scoreResults,array,no-op
,terms,array,no-op
,withdrawDate,string,no-op
,withdrawReasonDescriptor,string,no-op
,_etag,string,no-op
applicationEvents,,,
,id,string,no-op
,applicationEventTypeDescriptor,string,no-op
,eventDate,string,no-op
,sequenceNumber,integer,no-op
,applicationEvaluationScore,number,no-op
,applicationEventResultDescriptor,string,no-op
,eventEndDate,string,no-op
,termDescriptor,string,no-op
,_etag,string,no-op
assessments,,,
,id,string,no-op
,academicSubjects,array,no-op
,assessmentIdentifier,string,no-op
,namespace,string,no-op
,adaptiveAssessment,boolean,no-op
,assessedGradeLevels,array,no-op
,assessmentCategoryDescriptor,string,no-op
,assessmentFamily,string,no-op
,assessmentForm,string,no-op
,assessmentTitle,string,no-op
,assessmentVersion,integer,no-op
,identificationCodes,array,no-op
,languages,array,no-op
,maxRawScore,number,no-op
,nomenclature,string,no-op
,performanceLevels,array,no-op
,platformTypes,array,no-op
,programs,array,no-op
,revisionDate,string,no-op
,scores,array,no-op
,sections,array,no-op
,_etag,string,no-op
assessmentItems,,,
,id,string,no-op
,identificationCode,string,no-op
,assessmentItemCategoryDescriptor,string,no-op
,assessmentItemURI,string,no-op
,correctResponse,string,no-op
,expectedTimeAssessed,string,no-op
,itemText,string,no-op
,learningStandards,array,no-op
,maxRawScore,number,no-op
,nomenclature,string,no-op
,possibleResponses,array,no-op
,_etag,string,no-op
assessmentScoreRangeLearningStandards,,,
,id,string,no-op
,learningStandards,array,no-op
,scoreRangeId,string,no-op
,assessmentReportingMethodDescriptor,string,no-op
,maximumScore,string,no-op
,minimumScore,string,no-op
,_etag,string,no-op
bellSchedules,,,
,id,string,no-op
,bellScheduleName,string,no-op
,classPeriods,array,no-op
,alternateDayName,string,no-op
,dates,array,no-op
,endTime,string,no-op
,gradeLevels,array,no-op
,startTime,string,no-op
,totalInstructionalTime,integer,no-op
,_etag,string,no-op
budgets,,,
,id,string,no-op
,asOfDate,string,no-op
,amount,number,no-op
,_etag,string,no-op
calendars,,,
,id,string,no-op
,calendarCode,string,no-op
,calendarTypeDescriptor,string,no-op
,gradeLevels,array,no-op
,_etag,string,no-op
calendarDates,,,
,id,string,no-op
,calendarEvents,array,no-op
,date,string,no-op
,_etag,string,no-op
candidates,,,
,id,string,no-op
,candidateIdentifier,string,no-op
,eppProgramDegrees,array,no-op
,addresses,array,no-op
,aids,array,no-op
,birthCity,string,no-op
,birthCountryDescriptor,string,no-op
,birthDate,string,no-op
,birthInternationalProvince,string,no-op
,birthSexDescriptor,string,no-op
,birthStateAbbreviationDescriptor,string,no-op
,characteristics,array,no-op
,citizenshipStatusDescriptor,string,no-op
,cohortYears,array,no-op
,dateEnteredUS,string,no-op
,degreeSpecializations,array,no-op
,disabilities,array,no-op
,displacementStatus,string,no-op
,economicDisadvantaged,boolean,no-op
,electronicMails,array,no-op
,englishLanguageExamDescriptor,string,no-op
,firstGenerationStudent,boolean,no-op
,firstName,string,no-op
,genderDescriptor,string,no-op
,generationCodeSuffix,string,no-op
,hispanicLatinoEthnicity,boolean,no-op
,identificationCodes,array,no-op
,identificationDocuments,array,no-op
,indicators,array,no-op
,internationalAddresses,array,no-op
,languages,array,no-op
,lastSurname,string,no-op
,limitedEnglishProficiencyDescriptor,string,no-op
,loginId,string,no-op
,maidenName,string,no-op
,middleName,string,no-op
,multipleBirthStatus,boolean,no-op
,oldEthnicityDescriptor,string,no-op
,otherNames,array,no-op
,personalIdentificationDocuments,array,no-op
,personalTitlePrefix,string,no-op
,previousCareerDescriptor,string,no-op
,profileThumbnail,string,no-op
,programComplete,boolean,no-op
,races,array,no-op
,sexDescriptor,string,no-op
,telephones,array,no-op
,tuitionCost,number,no-op
,visas,array,no-op
,_etag,string,no-op
candidateEducatorPreparationProgramAssociations,,,
,id,string,no-op
,beginDate,string,no-op
,endDate,string,no-op
,eppProgramPathwayDescriptor,string,no-op
,majorSpecialization,string,no-op
,minorSpecialization,string,no-op
,reasonExitedDescriptor,string,no-op
,_etag,string,no-op
candidateRelationshipToStaffAssociations,,,
,id,string,no-op
,beginDate,string,no-op
,endDate,string,no-op
,staffToCandidateRelationshipDescriptor,string,no-op
,_etag,string,no-op
certifications,,,
,id,string,no-op
,certificationIdentifier,string,no-op
,namespace,string,no-op
,certificationExams,array,no-op
,certificationFieldDescriptor,string,no-op
,certificationLevelDescriptor,string,no-op
,certificationStandardDescriptor,string,no-op
,certificationTitle,string,no-op
,educatorRoleDescriptor,string,no-op
,effectiveDate,string,no-op
,endDate,string,no-op
,gradeLevels,array,no-op
,instructionalSettingDescriptor,string,no-op
,minimumDegreeDescriptor,string,no-op
,populationServedDescriptor,string,no-op
,routes,array,no-op
,_etag,string,no-op
certificationExams,,,
,id,string,no-op
,certificationExamIdentifier,string,no-op
,namespace,string,no-op
,certificationExamTitle,string,no-op
,certificationExamTypeDescriptor,string,no-op
,effectiveDate,string,no-op
,endDate,string,no-op
,_etag,string,no-op
certificationExamResults,,,
,id,string,no-op
,certificationExamDate,string,no-op
,attemptNumber,integer,no-op
,certificationExamPassIndicator,boolean,no-op
,certificationExamScore,number,no-op
,certificationExamStatusDescriptor,string,no-op
,_etag,string,no-op
classPeriods,,,
,id,string,no-op
,classPeriodName,string,no-op
,meetingTimes,array,no-op
,officialAttendancePeriod,boolean,no-op
,_etag,string,no-op
cohorts,,,
,id,string,no-op
,cohortIdentifier,string,no-op
,academicSubjectDescriptor,string,no-op
,cohortDescription,string,no-op
,cohortScopeDescriptor,string,no-op
,cohortTypeDescriptor,string,no-op
,programs,array,no-op
,_etag,string,no-op
communityOrganizations,,,
,id,string,no-op
,categories,array,no-op
,communityOrganizationId,integer,no-op
,addresses,array,no-op
,identificationCodes,array,no-op
,indicators,array,no-op
,institutionTelephones,array,no-op
,internationalAddresses,array,no-op
,nameOfInstitution,string,no-op
,operationalStatusDescriptor,string,no-op
,shortNameOfInstitution,string,no-op
,webSite,string,no-op
,_etag,string,no-op
communityProviders,,,
,id,string,no-op
,categories,array,no-op
,communityProviderId,integer,no-op
,addresses,array,no-op
,identificationCodes,array,no-op
