entities
domain,name,description,relationships,batch_type
attendance,studentattendance,,,incremental
student,studentsectionmark,,,snapshot
student,studentdemographics,,,delta

attributes
entity,attribute_name,description,datatype,constraint,pseudonymization
studentattendance,id,,string,pk,no-op
studentattendance,student_id,,string,fk,hash
studentattendance,school_year,,integer,,partition_by
studentattendance,school_id,,string,,no-op
studentattendance,attendance_date,,timestamp,,no-op
studentattendance,all_day,,string,,no-op
studentattendance,Period,,short,,no-op
studentattendance,section_id,,string,,no-op
studentattendance,AttendanceCode,,string,,no-op
studentattendance,PresenceFlag,,boolean,,no-op
studentattendance,attendance_type,,string,,no-op
studentattendance,attendance_sequence,,short,,no-op
studentattendance,attendance_status,,string,,no-op
studentsectionmark,id,,string,pk,no-op
studentsectionmark,student_id,,string,,hash
studentsectionmark,section_id,,string,,no-op
studentsectionmark,school_year,,string,,partition-by
studentsectionmark,term_id,,string,,no-op
studentsectionmark,numeric_grade_earned,,short,,no-op
studentsectionmark,alpha_grade_earned,,string,,no-op
studentsectionmark,is_final_grade,,string,,no-op
studentsectionmark,credits_attempted,,short,,no-op
studentsectionmark,credits_earned,,short,,no-op
studentsectionmark,grad_credit_type,,string,,no-op
studentdemographics,SIS ID,,string,,hash
studentdemographics,FederalRaceCategory,,string,,no-op
studentdemographics,PrimaryLanguage,,string,,partition-by
studentdemographics,ELLStatus,,string,,no-op
studentdemographics,SpecialEducation,,string,,no-op
studentdemographics,LowIncome,,boolean,,no-op
