table_name,column_name,type,format,maxLength,x-Ed-Fi-isIdentity,items,$ref
credentialExtensions,TPDM,,,,FALSE,,#/definitions/credentialExtension
deletedResource,id,string,,,FALSE,,
deletedResource,changeVersion,number,,,FALSE,,
academicWeek,id,string,,,FALSE,,
academicWeek,weekIdentifier,string,,80,TRUE,,
academicWeek,schoolReference,,,,FALSE,,#/definitions/schoolReference::schoolId
academicWeek,beginDate,string,date,,FALSE,,
academicWeek,endDate,string,date,,FALSE,,
academicWeek,totalInstructionalDays,integer,int32,,FALSE,,
academicWeek,_etag,string,,,FALSE,,
academicWeekReference,schoolId,integer,int32,,FALSE,,
academicWeekReference,weekIdentifier,string,,80,FALSE,,
academicWeekReference,link,,,,FALSE,,#/definitions/link
account,id,string,,,FALSE,,
account,accountCodes,array,,,FALSE,{$ref=#/definitions/accountAccountCode},
account,accountIdentifier,string,,50,TRUE,,
account,fiscalYear,integer,int32,,TRUE,,
account,educationOrganizationReference,,,,FALSE,,#/definitions/educationOrganizationReference::educationOrganizationId
account,accountName,string,,100,FALSE,,
account,_etag,string,,,FALSE,,
accountabilityRating,id,string,,,FALSE,,
accountabilityRating,ratingTitle,string,,60,TRUE,,
accountabilityRating,educationOrganizationReference,,,,FALSE,,#/definitions/educationOrganizationReference::educationOrganizationId
accountabilityRating,schoolYearTypeReference,,,,FALSE,,#/definitions/schoolYearTypeReference::schoolYear
accountabilityRating,rating,string,,35,FALSE,,
accountabilityRating,ratingDate,string,date,,FALSE,,
accountabilityRating,ratingOrganization,string,,35,FALSE,,
accountabilityRating,ratingProgram,string,,30,FALSE,,
accountabilityRating,_etag,string,,,FALSE,,
accountAccountCode,accountCodeReference,,,,FALSE,,#/definitions/accountCodeReference
accountCode,id,string,,,FALSE,,
accountCode,accountClassificationDescriptor,string,,306,TRUE,,
accountCode,accountCodeNumber,string,,50,TRUE,,
accountCode,fiscalYear,integer,int32,,TRUE,,
accountCode,educationOrganizationReference,,,,FALSE,,#/definitions/educationOrganizationReference::educationOrganizationId
accountCode,accountCodeDescription,string,,1024,FALSE,,
accountCode,_etag,string,,,FALSE,,
accountCodeReference,accountClassificationDescriptor,string,,306,FALSE,,
accountCodeReference,accountCodeNumber,string,,50,FALSE,,
accountCodeReference,educationOrganizationId,integer,int32,,FALSE,,
accountCodeReference,fiscalYear,integer,int32,,FALSE,,
accountCodeReference,link,,,,FALSE,,#/definitions/link
accountReference,accountIdentifier,string,,50,FALSE,,
accountReference,educationOrganizationId,integer,int32,,FALSE,,
accountReference,fiscalYear,integer,int32,,FALSE,,
accountReference,link,,,,FALSE,,#/definitions/link
actual,id,string,,,FALSE,,
actual,asOfDate,string,date,,TRUE,,
actual,accountReference,,,,FALSE,,#/definitions/accountReference::educationOrganizationId:accountIdentifier:fiscalYear
actual,amountToDate,number,double,,FALSE,,
actual,_etag,string,,,FALSE,,
assessment,id,string,,,FALSE,,
assessment,academicSubjects,array,,,FALSE,{$ref=#/definitions/assessmentAcademicSubject},
assessment,assessmentIdentifier,string,,60,TRUE,,
assessment,namespace,string,,255,TRUE,,
assessment,educationOrganizationReference,,,,FALSE,,#/definitions/educationOrganizationReference::educationOrganizationId
assessment,adaptiveAssessment,boolean,,,FALSE,,
assessment,assessedGradeLevels,array,,,FALSE,{$ref=#/definitions/assessmentAssessedGradeLevel},
assessment,assessmentCategoryDescriptor,string,,306,FALSE,,
assessment,assessmentFamily,string,,60,FALSE,,
assessment,assessmentForm,string,,60,FALSE,,
assessment,assessmentTitle,string,,100,FALSE,,
assessment,assessmentVersion,integer,int32,,FALSE,,
assessment,contentStandard,,,,FALSE,,#/definitions/assessmentContentStandard
assessment,identificationCodes,array,,,FALSE,{$ref=#/definitions/assessmentIdentificationCode},
assessment,languages,array,,,FALSE,{$ref=#/definitions/assessmentLanguage},
assessment,maxRawScore,number,double,,FALSE,,
assessment,nomenclature,string,,35,FALSE,,
assessment,performanceLevels,array,,,FALSE,{$ref=#/definitions/assessmentPerformanceLevel},
assessment,period,,,,FALSE,,#/definitions/assessmentPeriod
assessment,platformTypes,array,,,FALSE,{$ref=#/definitions/assessmentPlatformType},
assessment,programs,array,,,FALSE,{$ref=#/definitions/assessmentProgram},
assessment,revisionDate,string,date,,FALSE,,
